nombre,version,cal_general,cal_acabados,cal_seguridad,cal_equipamiento,cal_Infotenimiento,cal_comportamiento,cal_motor,cal_transmision,cal_consumo,cal_espacio,cal_precio,a_favor,en_contra
KIA Niro ,EX,8.7,8,9,8.5,8,8,9,9,10,8.5,,"Eficiencia ,Comodidad,Equipamiento de conectividad,La llegada de más equipo de seguridad","El precio lo pone cerca de rivales muy difíciles de vencer,Con cubierta de privacidad en la cajuela, el espacio de carga sereduce bastante,El IONIQ comparte mucho con Niro ¿por qué no darle también el freno autónomo de emergencia?"
,,,,,,,,,,,,,,
Porsche Macan ,S,9.1,9.5,9,9,10,10,10,10,7,7.5,8.5,"El comportamiento es digno de un vehículo deportivo.,Su diseño apegado al estilo del 911.,Sus ventas mantienen a los 718 y 911 a flote.","Mucho equipamiento es opcional.,El espacio para cabeza en la banca trasera es un tanto limitado."
KIA Seltos ,GT Line,8.3,8,8,8.5,8.5,8,8,9,7,10,8.5,"El motor es rico en par: empuja bien.,Muy buen espacio interior, incluso para pasajeros altos.,El equipamiento de confort es muy completo.","Hay margen de mejora en los acabados.,Los Seltos EX y EX Pack llevan motor muy pequeño.,No lleva monitor de punto ciego."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Audi A6 ,55 TFSI S-Line,9.2,10,9,9,10,10,10,10,7,9,8,"Su manejo: tan dinámico como sedoso.,El infotenimiento es uno de los más completos del momento.,Acabados exquisitos al interior.","Mucho equipamiento es opcional.,En México sólo hay una configuración mecánica disponible."
,,8.05,"8,9","7,9.5","7.5,9","9,10","8.5,8","7,9","10,7","7.5,7","8,9",,"El motor es rico en par: empuja bien.,Muy buen espacio interior, incluso para pasajeros altos.,El equipamiento de confort es muy completo.,El manejo es preciso y muy comunicativo.,La calidad de los interiores es de muy alto nivel.,El equipamiento es muy completo.","Hay margen de mejora en los acabados.,Los Seltos EX y EX Pack llevan motor muy pequeño.,No lleva monitor de punto ciego.,Poco espacio en las plazas traseras. ,Suspensión un tanto rígida para baches."
,,,,,,,,,,,,,,
Toyota Tacoma ,Edición Especial 4x4,8.0,7,8,8,9,8,8,8,7.5,8.5,7.5,"Es un auténtico vehículo todoterreno.,Buen nivel de equipamiento de confort.,Es relativamente fácil de conducir en ciudad.","No lleva monitor de punto ciego.,Los interiores lucen durables, pero muy rígidos.,No lleva sensor de proximidad delantero."
Honda CR-V ,Touring,8.6,9,9,9,7,9,8.5,8,7.5,10,8.5,"Muchísimo espacio y varias soluciones de versatilidad.,El manejo: ágil y cómodo a partes iguales.,La cabina es sencilla, pero bien terminada.","El sistema de infotenimiento empieza a sentirse obsoleto.,LaneWatch puede ser útil, pero no mejor que un monitor de punto ciego común.,La transmisión CVT no tiene modo manual."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SEAT León ,CUPRA Special Edition,8.9,8.5,9,9,9,9.5,9,10,8,8,9,"Detalles en color cobre y fibra de carbono,Precio razonable para todo el desempeño y equipo que lleva,Manejo sumamente divertido","El interior ya se siente algo viejo,No hay alerta de punto ciego,No hubo versión de 3 puertas"
Renault Stepway ,Intens CVT,7.8,7,7,8,8,7,8.5,7.5,8,8.5,8,"Buen espacio interior y cajuela amplia.,Sensación de robustez: se nota pensado para asfalto en mal estado.,Todas las versiones incluyen control de estabilidad.","Los acabados la interior son sencillos.,Hay margen de mejora en ergonomía.,La transmisión CVT no tiene modo de sobremarcha."
Mazda CX-30 ,i Grand Touring,8.7,9.5,9,9,9,9,9,8.5,8,7,9,"La selección de materiales en la cabina es espectacular.,La puesta a punto del chasís: un equilibrio entre confort y agilidad.,El aislamiento es bueno: pocos ruidos y vibraciones.","Poco espacio en la parte trasera, sobre todo en la plaza central.,No hay puertos USB de carga en la segunda fila.,El consumo se eleva con facilidad en tráfico pesado."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,8.8,"9,9","9,9","9,8","9,8","8.5,8","9,8.5","10,9","8,8","8.5,8",,"Muchísimo espacio interior y buenas soluciones de versatilidad.,El manejo es cómodo y ágil.,La cabina es sencilla, pero está bien terminada.,Su conducción es muy cómoda.,Ofrece distintos programas todoterreno.,Hay opción a una versión híbrida.","El sistema de infotenimiento se siente obsoleto.,LaneWatch puede ser útil, pero no mejor que un monitor de punto ciego común.,La transmisión CVT no tiene modo manual.,No incluye monitor de punto ciego ni sensores de proximidad.,El infotenimiento no es compatible con Android Auto.,La dirección se siente muy asistida."
Toyota Highlander ,Limited PR,8.9,8.5,10,10,9,8,9,10,6,10,8.5,"A tope de asistencias de conducción, incluso desde la versión base.,El espacio interior está muy bien aprovechado.,Queda buen lugar de cajuela con la tercera fila de asientos arriba.","El consumo de gasolina, como en cualquier SUV de tres filas, es alto.,El sonido del asistente de estacionamiento puede ser molesto.,No hay una variante híbrida (por ahora)."
,,,9,6,7,8,9,6,7,8,7,6,"Diversión offroad,Suspensiones efectivas,Aspecto imponente,Dirección informativa","Frenos esponjosos,Motor un tanto perezoso,Consumo elevado,Caja de cambios lenta"
JAC Sei 7 ,Limited,7.8,7.5,8,10,8,6.5,7,7,7,9,8,"Muy buen nivel de equipamiento.,Incluye asistencias de conducción en pro de la seguridad.,Aprovecha bien el espacio interior.","Mucho retraso en la entrada del turbo.,Manejo poco comunicativo.,La tercera fila queda justa en espacio."
Audi Q2 ,40 TFSI S-Line Quattro,8.5,9,9,9,8,9,9,10,8,6.5,7,"El diseño es distinto al resto de los SUV de Audi.,El motor 2.0 TFSI le sienta bien.,Muy buen nivel de equipamiento.","El espacio interior es algo justo.,Es costoso, incluso comparado con un Q3.,Las opciones online de infotenimiento son opcionales."
Range Rover Evoque ,P300 First Edition,8.9,9.5,10,10,10,8.5,8.5,10,8,8,6.5,"El diseño es vanguardista.,Buenos acabados interiores, sensación hi-tech.,Alto nivel de equipamiento.","Su gama de precios es alta.,Aún se siente algo de retraso en la entrada del turbo."
KIA Stinger ,GT V6,8.7,8.5,10,10,7,9,10,9,7,8,8.5,"La potencia del motor, de lo mejor a ese precio.,El diseño es imponente, y en naranja llama la atención.,Ya incluye asistencias de conducción.","Poco espacio para cabeza en la banca trasera.,Es fácil disparar el consumo en el tráfico.,El sistema de infotenimiento es muy sencillo."
,,,,,,,,,,,,,,
,,7,8,7,7,6,8,8,8,8,7,8,"Comportamiento dinámico,Cambio manual suave,Mega Box en la cajuela","Suspensiones demasiado firmes en ciudad,Habitabilidad trasera algo justa"
KIA Seltos ,EX Pack,8.3,8,9,8.5,8.5,8,6,8,8,10,8.5,"Muy buen espacio interior, incluso para personas altas.,La suspensión sigue siendo cómoda en asfalto maltratado.,Buen equipamiento de confort.","El motor le queda justo en potencia.,Hay mucho plástico rígido al interior.,No hay espejo en la visera del conductor."
,,,,,,,,,,,,,,
,,9.3,9.5,10,9.5,10,9,10,8.5,10,8,,"Hay tecnología por doquier, y toda es de serie.,Pronto podrá equiparse con cámaras en lugar de espejos laterales.,El motor se mueve con prisa.","Su tamaño complica encontrar dónde estacionarse. Pronto habrá EV más pequeños en Audi.,No incluye cámara frontal o de 360º."
CUPRA Ateca ,CUPRA,9.1,8,10,10,9,10,10,10,8,7,8.5,"El comportamiento es muy neutral, va más como hatchback que como SUV.,Su nivel de equipamiento es altísimo.,No llega a ser incómodo en ciudad.","Algunos plásticos no lucen como de un SUV de $700,000.,El espacio en la segunda fila es correcto, pero no abundante.,Su facelift llega para el siguiente año-modelo."
,,,,,,,,,,,,,,
Suzuki Ignis ,GLX CVT,8.3,8.5,6,8.5,10,8,8,7.5,10,8,8,"El rendimiento de combustible es muy bueno.,La calidad de marcha está por encima de la mayoría de los urbanos.,Mucha personalidad en diseño exterior e interior.","No lleva control electrónico de estabilidad y sólo tiene dos airbags.,Los seguros son eléctricos, pero no automáticos.,El volante tiene ajuste de altura, pero no de profundidad."
,,7.1,7,5,7.5,7,7,10,10,6,5,,"La autonomía prometida es muy cercana a la realidad, y es buena.,Lejos de ser lento, puede llegar a ser ágil.,Su conducción es ideal para ciudad.","El precio es alto.,El equipo de seguridad se queda en lo básico.,La interfaz de infotenimiento es lenta."
Mazda 2 Sedán ,i Grand Touring 2021,8.1,9.0,8.5,8.0,7.5,8,8,8,8.5,7,8,"Percepción de calidad,Lleva hasta asientos calefactables,Mucha comodidad y manejo suave","En general es algo reducido el espacio,Algunos detalles ya dejan ver el paso del tiempo,El Nissan Versa más equipado no está tan lejos de su precio"
Mazda 3 Hatchback ,iGrand Touring,8.8,9,8.5,8.5,9,9.5,9,10,8,8,9,"El manejo es muy equilibrado, se siente bien plantado y responde de maravilla,La percepción de calidad, los materiales y en general el diseño interior,Sistema de audio, como ninguno en el segmento,Un precio adecuado por lo que te llevas","A veces la visibilidad hacía atrás no es la mejor,Hay algunos elementos de equipo de comodidad que se extrañan,No es el más eficiente del segmento,Los acabados en negro brillante al interior se maltratarán rápido y fácil."
KIA Soul ,EX Pack,8.3,8,8,9,8.5,8,8,9,7.5,8.5,8,"El nivel de equipo por precio comparado con rivales también en el acabado más caro.,El espacio en cabina,Un manejo sin tanto balanceo y buen aplomo","No hay segunda fila deslizable,Faltó la alerta de punto ciego"
,,,,,,,,,,,,,,
,,7.89,"8.6,8.8,8.8,9.4,8.9,9.8,9.1","6.1,7.3,8.0,6.8,8.4,8.8,9.6","7.0,7.5,8.0,8.0,10,8.5,8.5","7.5,8.0,9.5,9.0,7.7,8.8,8.6","8.2,7.8,8.5,8.8,8.3,7.6,9.3","8.2,7.6,6.6,8.5,7.2,7.0,7.1","8.4,8.2,8.4,7.9,8.2,7.1,7.1","8.1,8.2,8.7,8.4,8.8,10,8.8",,,"Incluye sistema de navegación nativo.,Su manejo es extremadamente cómodo.,El rendimiento de combustible es bueno.,Es un Corolla: confiabilidad y durabilidad demostradas.,La suspensión es de las más cómodas de la categoría.,Buena relación potencia/consumo.,Es, con diferencia, el más divertido de manejar.,El equipamiento es muy completo.,Ofrece 7 años de garantía, la mejor del mercado.,Su rendimiento de combustible fue el mejor de los siete.,El interior es sumamente práctico.,Es tan cómodo, como divertido de conducir.,Incluye asistencias de conducción inéditas en la categoría.,Los asientos son de los más cómodos del segmento.,El nivel de equipamiento es muy completo.,Su relación valor/precio es imbatible.,Su manejo es suave, preciso y divertido.,Tiene el interior más sofisticado de la categoría.,Es el compacto más equipado de la categoría.,Buen espacio interior y de cajuela.,El costo de mantenimiento es el más bajo de los siete.","El motor desarrolla sólo la potencia justa.,Su nueva generación ya se presentó.,Su mantenimiento es el más caro de los siete.,Es el único que no lleva monitor de punto ciego.,Hay poco espacio para cabeza en la banca trasera.,El equipamiento tiene margen de mejora.,El consumo de combustible es el más alto de los siete.,Algunos acabados al interior pueden mejorar.,Sólo el vidrio del conductor es de un toque.,Lane Watch no reemplaza por completo a un monitor de punto ciego.,Hay margen de mejora en su equipamiento.,El infotenimiento empieza a verse viejo y puede ser lento.,El motor queda justo de potencia.,La transmisión CVT no es la más refinada.,Algunos acabados interiores pueden mejorar.,Poco espacio en la banca trasera. ,Su costo de mantenimiento es de los más altos.,El precio del seguro está encima de la media.,Es, con diferencia, el más caro.,El túnel central limita la comodidad del asiento trasero de en medio.,Se siente ""ahogado"" en arranques: el turbolag está MUY presente."
Chevrolet Tracker ,Premier,8.8,7.5,10,9.5,10,7,9,8,9,8,10,"Altísimo nivel de seguridad con asistencias de conducción únicas en la categoría.,El motor gusta por su agilidad.,El equipamiento de confort y conveniencia es muy completo.","Hay margen de mejora en los ensambles.,Tiende a rolar con facilidad.,El reposapiés es pequeño y no muy cómodo."
Lincoln Corsair ,Reserve 2.3 L,8.7,8,10,10,8,7.5,10,10,6,9,8.5,"Perfectamente aislado de ruidos y vibraciones.,El equipamiento de serie es completísimo.,La respuesta del motor es sobresaliente.","Hay margen de mejora en algunos acabados.,El consumo de combustible es alto."
Audi Q3 ,S Line 35 TFSI,8.9,9.5,8.5,8.5,9,9.5,9,9,9,9,8,"Nivel de personalización.,Espacio interior,Manejo cómodo, pero también directo.","Casi todo el equipo que más lo haría destacar es opcional.,No hay puertos USB en la parte trasera."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ford Mustang ,Shelby GT500,8.1,8,9,9,10,9,10,10,3,5,7.5,"Un deportivo muy capaz en pista,El sonido del motor eriza la piel,Su aceleración es cardíaca","El Carbon Fiber Track Package no está disponible,Los asientos traseros casi son de adorno,¿Se vale decir alto consumo de combustible?"
Mercedes-Benz Clase A Sedán ,A 200 Sport,8.9,9,9,9,10,9,9,10,9,7,8,"MBUX es el sistema de infotenimiento más avanzado del momento.,Mucho del equipamiento se incluye de serie.,En la cabina se respira calidad y tecnología.,Incluye alerta de colisión frontal y estacionamiento automatizado.","Las plazas traseras son algo reducidas.,Es considerablemente más costoso que el hatchback.,No lleva monitor de punto ciego."
,,,,,,,,,,,,,,
Honda Civic Coupe 2020 ,Sport Plus,8.0,8,8,8,7,8.5,9,8,9,6.5,8,"Un manejo que se disfruta aún sin tener preparación deportiva.,Consumos buenos si se es cuidadoso con el pie derecho.,Que haya mantenido vivo al segmento durante varios años.","La caja CVT a veces contrarresta el buen trabajo del motor y chasis.,Ciertos elementos de equipo ya dejan ver claramente el paso del tiempo."
BMW i8 ,Ultimate Sophisto,8.9,10,9,9,9,10,10,10,10,4,7.5,"El diseño es simplemente espectacular.,Emplea técnicas de producción y materiales muy avanzados.,Es un auto tan divertido como eficiente.","La suspensión es extremadamente rígida.,Hay poco lugar de cajuela o para colocar objetos personales.,El capricho de diseño pasa su factura en la visibilidad limitada."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,8.39,"8.2,8.6","8.4,8.2","10,7.5","7.2,8.6","8.6,7.0","7.9,8.5","7.8,7.8","7.9,7.5","9.5,8.3",,"Es el único B-SUV con freno autónomo de emergencia.,La respuesta del motor turbo es muy buena.,Los servicios de OnStar aportan mucho en el día a día.,Se mueve con aplomo. Su manejo transmite confianza.,Buen lugar para piernas y para cabeza.,El sistema de infotenimiento es muy completo.","Conducción anestesiada y suspensión con tendencia a lanchear.,Hay aspectos de ergonomía por mejorar.,Algunos ensambles tienen margen de mejora.,El motor le queda apretado.,El volumen de la cajuela no está bien aprovechado.,No hay monitor de punto ciego ni alerta de colisión frontal."
,,,,,,,,,,,,,,
Hyundai Grand i10 ,NS,7.6,7,5,7.5,8,7,8,8,10,8,7,"Es muy fácil obtener buen consumo de gasolina.,Espacio interior bien aprovechado.,La suspensión es cómoda para ciudad.","Las bocinas tienen una calidad de sonido básica.,El cinturón de seguridad central trasero es pélvico.,Sólo incluye airbags frontales y no lleva ESC."
Mitsubishi Mirage G4 ,GLS CVT,8.0,6,7,7.5,9,7,8,7,10,10,8,"Espacio interior por encima de la media.,Es muy fácil obtener un buen consumo, incluso con caja automática.,Cuenta con control electrónico de estabildad.","Acabados muy sencillos al interior.,Se extrañan airbags laterales.,Los precios del GLS se acercan a sedanes de categoría superior."
Audi Q3 Sportback ,Select 35 TFSI,8.6,9.5,8,8,8,9.5,9,9,9,8,7.5,"Un buen manejo, cómodo y bien plantado en todo momento.,Calidad de ensambles en general.","Hay elementos de seguridad que ya deberían ser de serie y no opcionales como la cámara de reversa al menos.,La caída del techo limita el espacio a lo alto en la segunda fila de asientos."
Mazda MX-5 ,Roadster iSport,8.3,10,7,8,7.5,10,10,10,8,4,8,"Manejo puro, directo y divertido.,El nuevo motor hace buen trabajo y era lo que necesitaba.,Ser convertible.,Un consumo decente aún teniendo en cuenta su enfoque.","Por mucho no es un coche práctico, pero es algo común en este tipo de autos.,Ser tan bajo hace que en las noches, los autos que vienen detrás de ti te deslumbren más de lo normal.,No hay Apple CarPlay ni Android Auto.,No hay cámara de reversa, ni algunos asistentes y alertas de seguridad que sí en otros países."
Toyota Sienna ,Limited,8.3,8,8,9,9,8,7.5,9,6,10,8,"El espacio interior. Nada como una miniván.,Hay buen nivel de equipamiento de entretenimiento para viajes largos.,Es muy cómoda.","No hay sensor de proximidad delantero o cámara de visión de 360º.,Una dosis extra de asistencias de conducción no le sentarían mal.,El rendimiento de combustible es bajo."
Alfa Romeo Stelvio ,Ti,7.8,9,8,9,7,9,8,8,7,6,7,"El diseño es elegante y deportivo con toque italiano.,La tracción es trasera hasta que se necesita apoyo del eje delantero.,Exclusividad, hay pocos Stelvio en la calle.","La transmisión jalonea a baja velocidad todo el tiempo.,Con pocos kilómetros en el odómetro, presenta rechinidos en el interior.,La competencia contra otros SUV premium opacan su excelente desempeño por viejas historias de poca confiabilidad."
Hyundai Sonata ,Sport 2.0 T,8.8,8,8.5,8.5,8.5,9,9,8.5,8.5,10,9.5,"Respuesta del motor.,Precio respecto a equipamiento y competencia.,Espacio interior y comodidad","Sistema de audio.,La percepción de calidad de algunos materiales"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Renault Koleos ,Minuit,8.3,8.5,8,9,8,8,8,7.5,8,10,8,"Diseño, simplemente atractivo.,Espacio interior abundante.,Percepción de calidad interior.","El manejo no es el más divertido que hayamos experimentado.,La orientación de la pantalla hace que se desaprovechen varias funciones.,La protección de los espejos quita mucha visibilidad."
,,,,,,,,,,,,,,
,,8,8,7,7,8,8,9,9,10,8,7,"Comportamiento dinámico,Sonoridad escapes,Motricidad,Guiado cambio manual","Precio,Peso"
,,,,,,,,,,,,,,
Honda Insight ,Insight,9.1,9,10,9,10,8,8,10,9,8.5,9,"Hay muy buenos acabados al interior.,Cuenta con todas las asistencias de conducción de última generación.,El rendimiento de combustible, muy bueno.,Es bastante cómodo.","Roza en algunos topes.,No hay espejo retrovisor electrocromático. ,La autonomía en modo eléctrico es de hasta 1.5 kilómetros.,No hay versiones más accesibles."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GMC Acadia 2019 ,All Terrain,8.4,7.5,8.5,9,9,8,9,7,7,8.5,8.5,"La potencia del motor es sobresaliente.,Que se pueda desconectar el eje trasero para consumir menos gasolina en situaciones citadinas.,La transformación al activar el modo 4x4 (electrónico).","La desaparición de la versión SLT, hay quienes no buscan que su SUV familiar sea todoterreno.,El espacio de la tercera fila es reducido, sólo para niños.,La dirección es demasiado lenta y empaña el buen desempeño del chasis y el motor."
,,,,,,,,,,,,,,
Infiniti QX80 ,7 pasajeros,7.6,8,9,10,8,8,4,9,5,8,7,"La comodidad y el espacio interior son destacables, se cuela poco el ruido y los sillones son mejores que algunos de casa.,El equipo de sonido, video y reproducción de consolas externas es ideal para viajes muy largos.,Todo es eléctrico: el portón, la tercera fila de asientos, ciertos movimientos de la segunda... cero calorías quemadas.","Gasta demasiada gasolina sin importar el estilo de manejo, a todo régimen va dando tragos cual universitario a su cerveza.,El espacio de la cajuela detrás de la tercera fila es menor que en hatchbacks compactos, es forzoso el uso de accesorios exteriores para equipaje.,Sin Apple CarPlay ni Android Auto, urge actualizar el sistema de infoentretenimiento de Nissan/Infiniti"
,,,,,,,,,,,,,,
,,9.0,9,9,9,8.5,8,10,10,9,9,8,"La calidad de marcha. Un sedán muy cómodo.,Buen nivel de equipamiento.,18 km/l en ciudad en un sedán de 4.88 metros.","Espacio para cabeza justo en las plazas traseras.,No es barato."
