Nombre,Marca,Modelo,Estrellas,Opinion,Votos,Fecha
Chevrolet Tracker 2017 LS,chevrolet,Tracker,4,"Solo se opina cuando tienes el vehículo, yo tengo una 2017 con 60.000 km y consume normal como cualquier motor de 1.800 c.c. y de acuerdo al manejo, hasta ahora todos los mantenimientos en la chevrolet sin cambiar un solo repuesto, es amplia, potente y muy suave.",16,2019-12-13 01:59:01.853000+00:00
Chevrolet Tracker 2015 4 puertas full 1.8,chevrolet,Tracker,1,"No creo que en la historia de los vehículos se haya producido uno peor que este, no es más que belleza exterior, pero el carro es desechable. Tiene 100.000 kilómetros y desde que me lo entregaron hubo que cambiar caja de cambios automática porque salió defectuosa y el condensador del aire, después falló el opturador de la puerta del baúl. Apenas llegó a los 100000 k todo empezó a pedir cambió, la base del termostato, le he cambiado dos becis la bobina de ignición y así la lista no para. Tengo menos de 5 años con el carro y en los últimos 6 meses me ha sacado más de 7 millones de pesos. Lo peor de lo peor.",8,2019-12-04 00:35:15.025000+00:00
Chevrolet Tracker 2017 LT,chevrolet,Tracker,3,Me consume anticongelante. No tiene fuga ni nada en el motor .tiene recien 25 mil km .consume mucho combustible ..lo demás es muy linda máquina. Muy cómoda.,2,2019-12-02 12:29:26.174000+00:00
Chevrolet Tracker 2004 Chevrolet tracker 4 puertas motor peugeot 2.0 hdi turbo intercooler  diesel,chevrolet,Tracker,1,"Gracias que pude salir de la Chevrolet tracker del 2005 diesel ..un invento creo que brasilero..En Uruguay nadie la quiere tocar..es todo problema,cara de repuestos y los servicios autorizados son un desastre..",1,2019-11-14 09:14:25.950000+00:00
Chevrolet Tracker 2013 LS,chevrolet,Tracker,5,Muy cómodo y económico de combustible a comparación del cilindraje de otros vehículos,5,2019-10-23 16:21:01.953000+00:00
Chevrolet Tracker 2017 Lt,chevrolet,Tracker,5,El baúl cuando le doy cierre centra no cierra no se que pasa,4,2019-10-05 01:47:58.608000+00:00
Chevrolet Tracker 2014 La sencilla mecánica,chevrolet,Tracker,3,El vehículo me salido bueno en todos los sentidos. Pero hoy de fue a cero la señal de revoluciones y auto siguió andando normal. Qué le habrá pasado.,5,2019-09-29 15:01:09.319000+00:00
Chevrolet Tracker 2015 LS,chevrolet,Tracker,4,"Buen día. Tengo una tracker 2015, me mostró código 89 y le cambié el termostato completo. Pero mientras estuvo con la falla me empezó a calentar mucho el interior y se siente un poco de vapor caliente por las rejillas, tanto que empaña el vidrio. , Se le cambió el termostato y desapareció el código, pero sigue calentando muchoy el tablero es caliente. , ¿Me pueden ayudar? , Soy Nicolás de  Colombia",4,2019-09-27 13:19:01.734000+00:00
Chevrolet Tracker 2001 5 puertas mot 2.0 4cil 4wd,chevrolet,Tracker,5,"Siempre a funcionado de lo mejor tiene las fallas normales de un auto con más de 100000 km pero nada qe no se pueda reparar, y aún le queda mucha vida",4,2019-09-27 12:58:48.912000+00:00
Chevrolet Tracker 2014,chevrolet,Tracker,5,Excelente desempeño en carretera el unico detalle que le veo es que se patina muy facil en carretera destapada,5,2019-09-17 22:17:05.172000+00:00
Chevrolet Tracker 2017 Full automática,chevrolet,Tracker,1,"Consume regular gasolina, pero el manto de los consesionarios es pésimo, el panel de control alerta fallas y no detectan los mecano os cual, adivinan, les falta una adecuada capacitación.",0,2019-09-10 03:21:04.822000+00:00
Chevrolet Tracker 2014 1.8,chevrolet,Tracker,5,"Tengo una Traker 2014 con 110.000 kilómetros y me aparece un code 89, alguien me puede informar que debo hacer al respecto? Muchas gracias",5,2019-08-02 20:30:13.476000+00:00
Chevrolet Tracker 2018 Premier FWD,chevrolet,Tracker,3,"El vehículo funciona correctamente, la asistencia al cliente de General Motores APESTA.",2,2019-07-25 03:25:02.784000+00:00
Chevrolet Tracker 2015 ltz 4x4 automatica,chevrolet,Tracker,3,Muy gastadora....pero muy comoda,-1,2019-07-19 05:31:06.576000+00:00
Chevrolet Tracker 2015 TRACKER LS,chevrolet,Tracker,5,VEHÍCULO MODELO 2015. EXCELENTE PARA PRECIO BENEFICIO. HASTA LA FECHA NO HA MOLESTADO POR NADA. EL GASTO DE GASOLINA ES NORMAL,10,2019-07-08 23:42:50.172000+00:00
Chevrolet Tracker 2014 Full motor 1.8,chevrolet,Tracker,4,"Hola, en la parte del tablero del copiloto suena agua correr, es normal? Y al estar funcionando saco la tapa del llenado de aceite y baja las revoluciones es normal? Ayuda plis",11,2019-06-19 01:12:17.396000+00:00
Chevrolet Tracker 2018,chevrolet,Tracker,1,"Tiene fallas de diseño que son inaceptables, no tiene climatizador, la calefaccion queda siempre conectada. me arrepiento.",2,2019-06-14 13:35:00.338000+00:00
Chevrolet Tracker 2018 5 PUERTAS 1.8L MT,chevrolet,Tracker,4,"No es mala, un poco lenta en salida y luego sobre 100 kh es rapida gastadora 9kl .",0,2019-06-09 01:35:04.869000+00:00
Chevrolet Tracker 2018 LTZ+,chevrolet,Tracker,5,Recien lo he comprado y aun no me lo han entregado. El modelo es 2019 con tracción integral fabricado en Mexico,4,2019-05-20 15:21:06.816000+00:00
Chevrolet Tracker 2013 Ts,chevrolet,Tracker,3,Me ha molestado mucho el motoventilador y lo he cambiado dos veces. No hay una solución de GM a este problema y tomar una acción correctiva a este problema.,1,2019-05-12 18:18:06.269000+00:00
Chevrolet Tracker 2014 2,chevrolet,Tracker,2,Vehículo que cuando pasa la garantía le empieza a fallar todo y los repuestos son muy caros y malos,4,2019-04-23 00:50:05.817000+00:00
Chevrolet Tracker 2018 Chevrolet  tracker AWD PREMIER +,chevrolet,Tracker,4,rapida y clara  la respuesta,2,2019-04-03 12:05:10.289000+00:00
Chevrolet Tracker 2018 automatica 4x4,chevrolet,Tracker,4,hice un viaje de vacaciones a Floripa. 5 pasajeros con kayak y sombrillas en el techo. Un fierrazo de auto. Aproveché la velocidad crucero. El consumo con aire a 110km/h fue 11km/lts,8,2019-03-28 20:24:05.229000+00:00
Chevrolet Tracker 2015 full,chevrolet,Tracker,5,muy muy buena me la quedo. es mucho mejor que la Ecosport o La Hiunday,11,2019-03-25 19:22:48.039000+00:00
Chevrolet Tracker 2018 Full 1.8,chevrolet,Tracker,2,La tengo hace 6 meses y no me convence caja de cambios dura y sonora es lenta para salir y consume bastante combustible en ciudad es una pésima inversión de acuerdo al calor que tiene,4,2019-03-04 07:20:39.439000+00:00
Chevrolet Tracker 2017 LS Mecánica,chevrolet,Tracker,5,"Sin problemas hasta ahora, vehículo suave, potente y con la seguridad que solo te da una camioneta. En consumo me da 38 kms/gal (ciudad) y 43 kms/gal (carretera). Mantenimiento económico para ser camioneta. Ya voy para tres años con ella y estoy muy contento.",24,2019-03-02 18:03:10.844000+00:00
Chevrolet Tracker 2015 5 puertas,chevrolet,Tracker,3,"Estoy conforme pero tiene algunos peon emas se visibilidad, especialmente del portón trasero",1,2019-02-15 22:29:00.919000+00:00
Chevrolet Tracker 2014 5 puertas motor 1850cc,chevrolet,Tracker,3,"Consume mucho combustible, adicional a los 4 años exactos fallo compresor aire acondicionado, en la Chevrolet le quieren arrancar 2'300.000 solo por compresor más mano de obra y recarga de gas, pero después de tanto buscar encuentro sitio que repara el compresor completo y sale en 600 con garantía y todo, ya llevo un mes y funciona perfectamente",5,2019-02-05 11:36:25.144000+00:00
"Chevrolet Tracker 2002 4 Puertas , Motor 4 Cil. 2.0",chevrolet,Tracker,4,"Cuando estoy hechando gasolina, se bota la la pistola de la manguera de la bomba y tengo muchos años con el problema, ya quite una manguera que esta entre la toma y el deposito y no encontre nada que obstruyera, que podra ser??",3,2019-01-30 00:25:45.215000+00:00
Chevrolet Tracker 2014 5 puertas,chevrolet,Tracker,5,Termostato y bombas de agua que problema,1,2018-12-29 02:24:11.393000+00:00
Chevrolet Tracker 2013 4 puertas 1.8 atte lt,chevrolet,Tracker,3,"Falla el motoventilador, el termostato y como tragona 29 km galón en ciudad y 38 en carretera automática",3,2018-12-24 00:00:39.879000+00:00
Chevrolet Tracker 2014 Ltz automática,chevrolet,Tracker,5,"Exelente. Solo la llanta de 18"" limita un poco la elección de neumáticos.hermosa.Por lo demás no existe un vehículo irrompible.",7,2018-12-16 14:44:18.696000+00:00
Chevrolet Tracker 2017 4 puertas autimatico ful,chevrolet,Tracker,2,"Tube un accidente me chocaron la parte frontal, al motor no le paso nada pero si se activaron bolsas de aire ambas conductor acompañante. El veiculo se me bloqueo por el impacto. Lamentablemente la agencia que me lo vendio no ayuda mucho a pesae de la publicidad que acen. Ocupi que me ayuden a localizar una gran cantidad de repuestos. Tiene",1,2018-12-04 01:30:28.543000+00:00
Chevrolet Tracker 2017,chevrolet,Tracker,5,"El costo beneficio es bueno. Para el costo, esta equilibrado.",0,2018-12-03 20:32:14.361000+00:00
Chevrolet Tracker 2014,chevrolet,Tracker,1,"Me a  , Dado mucha problemas. Termostato, crujido de puertas, varillaje de transmisión, pierde refrigerante, nunca más compraré crevrolet",7,2018-11-14 01:31:37.794000+00:00
Chevrolet Tracker 2016,chevrolet,Tracker,4,a quien le creemos unos dicen que es elevado el gasto de combustible y otros que es muy económica de verdad me parece mas bien económica.,15,2018-11-09 10:07:50.537000+00:00
Chevrolet Tracker 2013 Lt,chevrolet,Tracker,2,"Es confortable , pero muy gastona. Me ha molestado bastante por electroventilador y termostato . He preguntado y ese fue el defecto de fábrica de ellas",3,2018-10-22 04:50:20.474000+00:00
Chevrolet Tracker 2016 ls,chevrolet,Tracker,2,"muy consumidor. Me la compre hace 5  días atras y he gastado ya mucho en bencina.. no rinde nada...  , Adentro es bastante comoda, pero en rendimiento pesima. le cambie aceite, ahora le realizare limpieza de inyectores... para haber que pasa...  , Alguien tiene otra solución?",-1,2018-10-10 21:12:42.868000+00:00
Chevrolet Tracker 2015 Ltz,chevrolet,Tracker,5,Muy buena camioneta espaciosa nunca me dejó,8,2018-09-13 20:38:18.959000+00:00
Chevrolet Tracker 2018 automatica,chevrolet,Tracker,4,me encanta desde mayo la tengo lo unico q veo es q consume mucho,0,2018-09-12 03:57:05.111000+00:00
Chevrolet Tracker 2016 Tracker lt automatica.,chevrolet,Tracker,5,Tengo este vehiculo hsce un año me gusta el confort y el trabajo del automatico.Ni he tenido problemas con la camionrta.Tiene 36000 kilo,1,2018-09-04 03:21:08.737000+00:00
Chevrolet Tracker 2014 4 PUERTAS,chevrolet,Tracker,2,MUY LENTO Y GASTADOR PERO TIENE MUY BUENA PINTA,5,2018-08-23 14:28:10.242000+00:00
Chevrolet Tracker 2015,chevrolet,Tracker,1,"Es del , Año 2015 mi Tracker automático. A los 50.000 km se le dañó el compresor del aire gaste $800 a los 40.000 la bovina de encendido, ahora a los 79.000 hay que cambiarle el pedal del acelerador y cuesta $500. Tengo mucha tensión que se dañe la caja de cambio o alguna otra cosa... mala experiencia con Chevrolet, jamás compraré algún carro de esta marca!!!",5,2018-08-23 06:38:23.347000+00:00
Chevrolet Tracker 2014 Motor 1.8 lt,chevrolet,Tracker,2,La lleve al mecánico y me dijo que era la bomba de agua y el termostato descompuestos.,-1,2018-08-05 23:59:47.865000+00:00
Chevrolet Tracker 2014 mecanica  full,chevrolet,Tracker,1,"el vehiculo es deficiente, el motor es antiguo ruidoso y lento además de gastador, los frenos son maos, l comodidad horrible el conjunto caja y embrague muy malo, y la atención en los concesionarios y fábrica peor",3,2018-07-25 04:21:53.976000+00:00
Chevrolet Tracker 2018 Premier FWD,chevrolet,Tracker,4,"Es un segmento B muy bien construído y ensamblado, con 9 Km/litro de consumo en ciudad. , Excelente insonorización, confort de marcha y terminación, muy versátil por su tamaño. El OnStar es rápido y efectivo. El radio de giro no es el mejor.",6,2018-07-19 23:31:09.474000+00:00
Chevrolet Tracker 2014 Traker ls,chevrolet,Tracker,5,Buenas noches q marca de pastillas de freno y bandas utiliza la traker Gracias,0,2018-07-05 01:44:48.444000+00:00
Chevrolet Tracker 2015 Ls,chevrolet,Tracker,4,Presenta codigo 89 cambie termostato y el codigo sique apareciendo .,1,2018-06-28 00:58:42.115000+00:00
Chevrolet Tracker 2014 TRACKER,chevrolet,Tracker,4,"Auto confortable, cómodo buen andar sobrio, único defecto el baúl chico para mi uso.-",0,2018-06-06 17:31:15.179000+00:00
"Chevrolet Tracker 2014 LS, MT, 1800cc",chevrolet,Tracker,3,La tengo hace 2 años y no he tenido falla alguna. Es una camioneta económica para la ciudad.,1,2018-06-03 17:56:36.836000+00:00
Chevrolet Tracker 2016 LTZ,chevrolet,Tracker,1,HORRIBLE SE PRENDIO LA LUZ DE IGNICION DEL MOTOR CAMBIARON EL SENSOR SE VOLVIÓ A PRENDER NO SABEN QUE ES . LA COMPUTADORA NO ES EXACTA PARA DETECTAR EL DESPERFECTO.,5,2018-04-30 02:22:18.235000+00:00
Chevrolet Tracker 2015 lt,chevrolet,Tracker,3,"Muy lindo vehiculo,buena suspensión y consumo de combustible adecuado. Caja de cambios uffff...lenta y torpe...",3,2018-04-28 19:02:37.677000+00:00
Chevrolet Tracker 2016,chevrolet,Tracker,2,"Un vehículo muy delicado, molesta mucho el electro ventilador entre otras cosas",0,2018-04-20 11:28:16.027000+00:00
Chevrolet Tracker 2016 Chevrolet tracker,chevrolet,Tracker,1,Hola tengo una tracker 2016 y ya le cambie dos veces el compresor del aire acondicionado...se rompio otra vez;alguien me puede ayudar porfa..,-1,2018-03-26 14:21:26.802000+00:00
Chevrolet Tracker 2007 2.0 motor,chevrolet,Tracker,5,"Tengo un problema cuando paso de parking a D o R ""patea muy fuerte"" solo cuando el motor está caliente en frío no lo hace. Ayuda por favor!!!!",0,2018-02-27 19:39:32.477000+00:00
Chevrolet Tracker 2004 6 cil. 2.5 lt. 4x4,chevrolet,Tracker,4,"Casi un Jeep. El unico defecto que le veo es la suspension tan dura y el sistema de audio. Pero para andar en una ciudad con baches, inundaciones y baja velocidad, tiene muy buenas prestaciones. Alta potencia y para ser 6 cilindros, bajo consumo de gasolina. Lo que más me gusta es que el sistema de enfriamiento es sencillo y el motor es de cadena... evita muchos dolores de cabeza.",10,2018-02-04 03:40:51.379000+00:00
Chevrolet Tracker 2015 LTZ manual,chevrolet,Tracker,4,"Muy buen fierro en el ripio se comporta muy bien me quedo con el rodado 16 nomas, en mi caso me vino fallado el cierre centralizado me bajo del auto cuando está encendido y de la nada se traban las puertas quedándome sin poder asender denuevo, ya me hicieron ir y venir 5 veces los de la chevrolet y todavía no me lo solucionan, después nada fuera de lo comun",1,2018-01-09 18:03:47.552000+00:00
Chevrolet Tracker 2015 4 puertas mecanica,chevrolet,Tracker,5,excelente.  en 4 años no ha molestado en nada es una 2015 con 50000km la he disfrutado mucho con mi familia.,12,2018-01-05 16:07:53.736000+00:00
Chevrolet Tracker 2014 LT,chevrolet,Tracker,2,"Con un mes de comprada la bateria fallo y el consecionario la cambio por garantia,  la puerta trasera no abre y no lo cubre la garantia, hubo que pagar para que la arreglaran,  la puerta del combustble tambien fallo y se la reemplazo el consecionario. Presento codigo 89 y le cambiaron por consecionario la pieza. A los dos pocos meses volvio y fallo y volvieron a reemplazarlo por consecionario. Por lo demas todo esta bien.",3,2017-12-24 05:15:18.127000+00:00
Chevrolet Tracker 2015 4 ptas full equipo,chevrolet,Tracker,5,"Es una camioneta excelente, la mía es mod.2015 y la verdad hasta ahora no me ha fallado, excepto la compuerta trasera no me volvió a abrir, de resto es muy buena, tiene buena potencia.",3,2017-11-05 15:31:31.161000+00:00
Chevrolet Tracker 2015,chevrolet,Tracker,3,"Muy compacta y familiar ,",5,2017-10-18 10:53:27.944000+00:00
"Chevrolet Tracker 2017 ej, 4 puetas full. 1.7",chevrolet,Tracker,2,tengo una tracker 2017 tiene 36000 km  de uso  y ya presenta ruido en el motor como si fuera  cascabeleo que hago la chevrolet no responde,3,2017-09-22 15:07:01.433000+00:00
"Chevrolet Tracker 1997 4 puertas,semifull,",chevrolet,Tracker,5,"ES EXCELENTE , TINE UN TAMAÑO REGULAR , UN MOTOR ECONOMICO",5,2017-09-21 23:47:14.299000+00:00
Chevrolet Tracker 2018 LTZ AUTOMATICA,chevrolet,Tracker,4,"Compre la Tracker LTZ automática, muy hermosa y cómoda pero estoy sorprendido con el consumo de combustible.",10,2017-08-31 19:34:56.625000+00:00
Chevrolet Tracker 2017 1.8L Urbana,chevrolet,Tracker,4,La caja de 6 velocidades la hace que economizar más combustible,7,2017-08-07 12:23:45.428000+00:00
Chevrolet Tornado 2006 Motor 1.8 de cuerpo de aceleración electrónico,chevrolet,Tornado,5,Excelente vehículo ... Lo e tenido por muchos años y no a dado problemas su refacciones no son tan económicas pero vale la pena gastar por ella.,0,2020-09-05 23:18:33.216000+00:00
Chevrolet Tornado 2006 2 puertas pikup,chevrolet,Tornado,4,Yo tenía una falla de aceleración se subían alas 1500 la cambié u quedó a 880rpm.,-1,2020-05-18 03:09:08.461000+00:00
Chevrolet Tornado 2005 Dos puertas 1.8,chevrolet,Tornado,1,"No resolví lo l problema son muy tardado para a buscar una solución , Saludos",1,2019-07-21 22:51:43.288000+00:00
Chevrolet Tornado 2013,chevrolet,Tornado,4,No da marcha astake empiesa a parparer un auto con una llave,-3,2019-06-23 16:10:05.791000+00:00
Chevrolet Tornado 2006 2 puertas pick up,chevrolet,Tornado,5,Ultimamente ha fallado mi maquinita pero es una guerrera incondicional,0,2019-01-11 05:09:39.502000+00:00
Chevrolet Tornado 2011,chevrolet,Tornado,5,La mejor camioneta no puede existir,1,2018-11-17 11:45:54.843000+00:00
Chevrolet Tornado 2011 2 puertas 1.8,chevrolet,Tornado,5,Muy buen vehículo solo tengo ese detalle,1,2018-09-10 02:51:16.973000+00:00
Chevrolet Tornado 2009 2 puertas 1.8,chevrolet,Tornado,4,Exelente vehículo muy económico en gasolina,0,2018-05-17 18:45:07.841000+00:00
Chevrolet Tahoe 2013 Tahoe,chevrolet,Tahoe,5,"Un súper vehículo , muy buena comodidad, fuerza , confiabilidad y sobre todo una gran sensación de seguridad",1,2020-10-13 12:30:16.244000+00:00
Chevrolet Tahoe 2011 5 puertas,chevrolet,Tahoe,5,muy bueno fuerte como un buffalo,2,2020-04-12 00:14:59.439000+00:00
Chevrolet Tahoe 2007 5.3,chevrolet,Tahoe,5,muy comodas y amplias diseño exelente,4,2020-03-19 03:30:24.145000+00:00
Chevrolet Tahoe 2007 LT,chevrolet,Tahoe,5,"Muy potente motor, excelente confort.",4,2020-01-23 20:49:46.446000+00:00
Chevrolet Tahoe 2008 LT 4X4   V8 VORTEC 5.3L,chevrolet,Tahoe,4,"una camioneta muy buena los primeros 4 años, después es recomendable venderla",0,2019-10-24 23:45:44.457000+00:00
Chevrolet Tahoe 2002 2wd,chevrolet,Tahoe,5,"Yo tengo un problema cambiaron el sello de cigueñal de atras y ahora siento que cuando agarra una suvidita tiembla como que sebaja de reboluciones y tiembla o vivra pero le aselero un pokito y se le quita y solo abeses porque cuando la trago un poco aselerada no lo ase. Alguien sabe que pueda ser ? , 209 000",0,2019-08-22 18:14:33.808000+00:00
Chevrolet Tahoe 2007 5.8.L,chevrolet,Tahoe,5,Chevy tahoe 2007  tengo la lus del ABS..y ante derapante....cambié amortiguadores traseros discos y frenos ....solo limpie el área con brake cleaner  no desconecte sensores pero ahora tengo esas dos luses en el tablero que debo Aser...,0,2019-07-14 16:43:23.373000+00:00
"Chevrolet Tahoe 2001 5.3 vortek, 4x4",chevrolet,Tahoe,4,"Muy buena camioneta, amplia, no hasta mucha gasolina",3,2019-04-13 20:55:19.723000+00:00
Chevrolet Tahoe 2007 4 puertaa 5.3,chevrolet,Tahoe,5,mi tahoe 2007 presentó falla de taquetes dañados. cambiamos el taques dañados. Pero sigue la falla . Ese cilindro tiene una compresión de 100. Pero no hace su ciclo bien,0,2018-12-09 04:15:43.569000+00:00
Chevrolet Tahoe 2002 ls,chevrolet,Tahoe,4,un excelente vehiculo tanto en manejo como durable.,2,2018-11-16 21:01:02.467000+00:00
Chevrolet Tahoe 2007 suv,chevrolet,Tahoe,4,Muy amable por su ayuda. Gracias,4,2018-10-15 21:30:06.432000+00:00
Chevrolet Tahoe 2015 4 puertas 5.3 L V8 4x4,chevrolet,Tahoe,5,"Son muy buenos,para mi en particular los chevrolet en camionetas y SUV. ( INGENIERÍA AMERICANA )...",3,2018-10-12 13:48:33.944000+00:00
Chevrolet Tahoe 1999 4 puertas,chevrolet,Tahoe,5,Se tirones será  la bomba de gasolina ya que el flotador no funciona,1,2018-10-08 00:58:50.036000+00:00
Chevrolet Tahoe 2003,chevrolet,Tahoe,5,A mi me paso lo mismo .pero queria saber si es peligroso manejar 10 millas con la potencia del motor reducida,1,2018-10-07 13:56:54.645000+00:00
Chevrolet Tahoe 1995,chevrolet,Tahoe,4,"muy buen vehiculo, fuerte  , familiar o para recreo  , 4x4",2,2018-10-02 02:12:12.601000+00:00
Chevrolet Tahoe 2015 Americano,chevrolet,Tahoe,5,"Lleve mi Tahoe 2015 a que le , Cambiarán los cataliticos y el , Silenciador , noto que cuando retiro el vehículo el aire acondicionado casi no enfría , tiene algo que ver la reparación de los cataliticos con el fallo del aire?",1,2018-09-02 16:23:23.320000+00:00
Chevrolet Tahoe 2004 Tahoe z71,chevrolet,Tahoe,4,"Muy buena camioneta excelente,excepto por problemas electrónicos",-1,2018-08-17 00:04:02.941000+00:00
Chevrolet Tahoe 2010,chevrolet,Tahoe,5,"Saludos Amigos del foro … soy taller especialista en chevrolet con años de experiencia detectando y corrigiendo fallas en su vehiculo contamos con las mejores herramientas de diagnostico automotriz .. , Escribo atraves del foro para ayudar a la comunidad con sus vehiculos no de mas tropiezos y pierda su dinero y tiempo en talleres que empeoran la situacion de la falla  EN SU VEHICULO ..  , DEJE su Vehiculo en manos de expertos  trabajamos con  , caja automaticas .tren delantero suspensión .motor. frenos ABS . y fallas electronicas damos garantia por nuestro trabajo   , para mas informacion visitenos en , o llamenos 04142701994 04241926991 le daremos acesoria total mente gratuita sin ningun compromiso",3,2017-09-27 15:05:52.506000+00:00
Chevrolet Tahoe 2007,chevrolet,Tahoe,4,"Excelente vehiculo, Muy Buen Confort y comodidad. ,  , Problemas tecnicos a nivel electronico por la cantidad de sensores y componentes de ese tipo. ,  , Del resto excelente",4,2017-08-22 13:25:10.735000+00:00
"Chevrolet Swift 2000 4 PUESRTAs, 1300",chevrolet,Swift,5,EXCELENTE VEHICULO Y ECONOMICO EN REPUESTOS Y GASOLINA.,1,2020-10-08 17:12:50.370000+00:00
Chevrolet Swift 2000 4 puertas,chevrolet,Swift,5,se apago yn a prendido tiene corriente y combustible es mono punto se los agrdesco mucho gracias,0,2020-07-25 17:28:42.683000+00:00
Chevrolet Swift 1994,chevrolet,Swift,4,Buenas noches tengo un swuit 1.6 automático año 94 mande hacerle mantenimiento al carburador quedo fino pero cuando nuevamente empeze a rodar con el carro le empezó una falla al carro cuando aceleraba se sentía como que le llegaba gasolina al carburador bueno cambia la pila de gasolina duro una semana fino y nuevamente me presenta la falla si alguien me podría ayudar se lo agradezco,0,2020-03-13 01:59:26.495000+00:00
Chevrolet Swift 1992 4 puerta motor 1.3,chevrolet,Swift,2,este veiculo es bueno aorativo en venezuela incluso buenisimo,0,2019-11-07 13:46:49.411000+00:00
Chevrolet Swift 2000 1.3,chevrolet,Swift,5,Excelente carro lo malo es que cuando enciendo el aire el motor se descompensa y no acelera,0,2019-10-03 15:07:51.972000+00:00
Chevrolet Swift 1997   1.3,chevrolet,Swift,4,"Excelente Vehiculo, muy economico, muy fuerte,muy comodo y de muy buen comercio.",1,2019-08-12 15:55:00.912000+00:00
Chevrolet Swift 2000  1.3,chevrolet,Swift,4,"buenos días ase dos meses lo compre en general esta muy bien, el único problema que encontré es que en el plan anda muy bien pero en la subida se cuelga pierde fuerza, que opinan, gracias.",0,2017-08-26 16:50:24.765000+00:00
Chevrolet Suburban 2001 5.7,chevrolet,Suburban,5,Es muy buena camioneta! Dándole su mantenimiento no hay queja alguna,0,2020-08-31 13:01:36.478000+00:00
Chevrolet Suburban 2011 Suburban LT,chevrolet,Suburban,5,Es súper cómodo y confortable,-1,2020-05-21 00:02:48.480000+00:00
Chevrolet Suburban 2011 Lt,chevrolet,Suburban,5,Tengo un problema cuando la prendo y dejo que calente el.motor  se baja la presion y me manda el mensaje  que apage el motor. Pero si le presiono gas o la corro un poco ya no se le baja la presion,0,2020-02-06 03:05:42.362000+00:00
Chevrolet Suburban 1996 motor vortek,chevrolet,Suburban,4,No arranca echa explosioneslas vujias las deja negras como si se aogara ayudenme para saber que tiene,0,2019-12-16 22:38:57.006000+00:00
Chevrolet Suburban 2003 5 puertas,chevrolet,Suburban,1,Bien pero su pagina mala no da buena información,0,2019-06-12 15:36:30.744000+00:00
Chevrolet Suburban 1993 suvurban,chevrolet,Suburban,5,pues eta activo en condiciones buenas de uso....tan solo la transmicion es la k hace los cambios bruscos a ala revolucion,0,2018-12-13 20:45:55.986000+00:00
Chevrolet Suburban 2004 5.3,chevrolet,Suburban,4,Super comodo lujoso muy estable super grande simplemente hermosa mi suburban,0,2017-12-06 04:28:21.862000+00:00
Chevrolet Suburban 2005,chevrolet,Suburban,5,"Saludos Amigos del foro … soy taller especialista en chevrolet con años de experiencia detectando y corrigiendo fallas en su vehiculo contamos con las mejores herramientas de diagnostico automotriz .. , Escribo atraves del foro para ayudar a la comunidad con sus vehiculos no de mas tropiezos y pierda su dinero y tiempo en talleres que empeoran la situacion de la falla  EN SU VEHICULO ..  , DEJE su Vehiculo en manos de expertos  trabajamos con  , caja automaticas .tren delantero suspensión .motor. frenos ABS . y fallas electronicas damos garantia por nuestro trabajo   , para mas informacion visitenos en , o llamenos 04142701994 04241926991 le daremos acesoria total mente gratuita sin ningun compromiso",0,2017-09-27 15:04:32.258000+00:00
Chevrolet Sprint 1986 4 puertas 1.0 chevrolet sprin,chevrolet,Sprint,5,muy bueno no lo cambio por otro,0,2020-09-13 13:56:42.696000+00:00
Chevrolet Sprint 1999,chevrolet,Sprint,4,Muy economico poniéndole una barra de estabilidad adicional es muy manejable y personalisadolo que bien queda,0,2020-05-04 01:13:07.289000+00:00
Chevrolet Sprint 1998 5 puertas. Full injection. 1.0,chevrolet,Sprint,5,"Carrazo. Económico, agradecido y sencillo. Si bien el mío, al ser full injection no tiene tanta fuerza al subir pendientes,  tiene un rendimiento de casi 50 km por galón.",-1,2020-04-14 18:57:45.862000+00:00
Chevrolet Sprint 1991 4 puertas motor 1000,chevrolet,Sprint,5,es un buen carro lo recomiemdo,0,2019-08-09 17:08:49.668000+00:00
Chevrolet Sprint 1993 4 puertas carburador,chevrolet,Sprint,4,"Económico el mantenimiento. La culata es delicada si se deja recalentar el motor. Toca comprarle un radiador de doble fila que refrigera mejor que el original que es de una sola fila. Tiene bastante fuerza para arrancar en subidas, es de fácil estacionamiento por lo pequeño.",0,2019-07-08 17:02:09.874000+00:00
Chevrolet Spin 2013,chevrolet,Spin,5,"Yo la compré con 60000 km es LT  , Le puse la tercera fila de asientos y hasta ahora lo único que hago es con el cambio de aceite del motor cambio también el de la caja esto la hace más serena al andar con el valijon de 560 litros arriba y seis personas adentro cómodos gasto 135 litros en 2000 km a razón de 14 km por litro buen consumo",0,2020-10-25 18:06:32.468000+00:00
Chevrolet Spin 2015 LT,chevrolet,Spin,4,"Compre una spin 2015 lt.Muy comoda ,con mucho lugar .buen baúl.alta .consumo medio alto. No me gusta que no tenga marcador de temperatura.no me gusta el ruedin de auxilio y otra cosa la potencia de 105 cv es muy poco para su tamaño.deberia tener mas porque cargada en vacasiones y en subida le va a faltar fuerza,pienso yo..saludos",0,2020-10-18 22:47:53.937000+00:00
Chevrolet Spin 2017 Ltz,chevrolet,Spin,5,Alguien sabe si se le puede poner cámara atrás para estacionar,0,2020-09-20 22:54:04.750000+00:00
